FaultName,FaultID,State,SiteName,CPDId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM6ObjectName,DataType,Observation,PrefRate,LowRate,HighRate,RateUncr,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,Reference
407,Buffalo Valley,1016,NV,approx centroid,S-0407,SR-0449,-117.455269383000,40.479604596200,353.72,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
408,Butte Mountains,1017,NV,Profile 1-4 midpoint,S-0408,SR-0450,-115.310254354000,39.752355162800,340.6,N/A,slip rate study,scarp heights ranging from 0.95-4.4 m tall estimated to be 18-25 ka,0.12,0.038,0.24,unknown,unprojected (vertical),reinterpreted (low = 0.95m/25 ka; high = 4.4 m/18ka; pref (averages) = 2.7 m/21.75ka),scarp heights,scarp morphology/diffusion estimation,2?,18-25,0,0.2,Koehler and Wesnousky (2011) Geosphere
409,California Wash,1018,NV,approx centroid,S-0409,SR-0451,-114.665888555000,36.489705965500,180.82,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
410,Carico Lake Valley,1019,NV,approx centroid,S-0410,SR-0452,-117.026520768000,40.037366472800,309.06,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
411,Carson City,1020,NV,approx centroid,S-0411,SR-0453,-119.776254560000,39.127739546100,245.29,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
412,Kings Canyon,1072,NV,Trench 3,S-0412,SR-0454,-119.797897444000,39.175751168800,250.81,N/A,slip rate study,evidence for 3-4 paleo earthquakes; trench scarp height + vertical displacement in trench together yield pref vertical offset of alluvial fan of 8.4 +/- 0.5 m since 4420-5260 cal yBP,1.74,1.5,2,unknown,unprojected (vertical),reported low and high rate (pref = 8.4 m/4840 calyBP (average),alluvial fan exposed at surface and in trench,radiocarbon,"3-4, though rate is averaged through open intervals on both ends",4.4-5.3,1,5,dePolo (2014) USGS FTR
413,Clan Alpine,1023,NV,dePolo and Anderson location,S-0413,SR-0455,-117.846264980000,39.519044301800,247.26,N/A,dePolo and Anderson calibration rate,unknown,0.15,0.08,0.28,unknown,unprojected (vertical),reported,unknown,unknown,unknown,25,0,0.2,dePolo and Anderson (2000)
414,Clan Alpine,1023,NV,Florence Canyon,S-0414,SR-0456,-117.851299945000,39.501454883800,245.35,N/A,slip rate study,7m of vertical displacement of alluvial fan dated at 130-250 ka,0.04,0.03,0.05,unknown,unprojected (vertical),reported (pref = 7 m/190 ka (average of ages)),alluvial fan,relative interpretations,1-2 (?),130 -250,0,0.2,"Machette et al, (2005) SIM"
415,Clan Alpine,1023,NV,Star Canyon,S-0415,SR-0457,-117.843898568000,39.527308102300,248.17,N/A,slip rate study,19.4 m vertical scarp height within surface estimated to be 130-250 ka,0.1,0.08,0.15,unknown,unprojected (vertical),reported (pref = 19.4 m/190 ka (average of ages)),scarp height,relative/interpretative,unknown,130-250,0,0.2,dePolo (1998) PhD thesis
416,Coaldale,1024,NV,approx centroid,S-0416,SR-0458,-118.102965112000,38.003104544100,87.46,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
417,Cortez Mountains,1026,NV,approx centroid,S-0417,SR-0459,-116.479617363000,40.286547047700,347.16,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
418,Coyote Spring,1027,NV,approx centroid,S-0418,SR-0460,-114.969245661000,37.122720222700,172.52,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
419,Crescent Dunes,1028,NV,approx centroid,S-0419,SR-0461,-117.293153073000,38.273760719700,113.04,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
420,Desatoya Mountains (south),1029,NV,approx centroid,S-0420,SR-0462,-117.675921869000,39.232082043900,214.85,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
421,Desatoya Mountains (north),1153,NV,approx centroid,S-0421,SR-0463,-117.565299353000,39.496117078500,244.26,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
422,Diamond Mountains,1030,NV,approx centroid,S-0422,SR-0464,-115.786626083000,39.560905843900,299.52,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
423,Dixie Valley,1032,NV,The Bend,S-0423,SR-0465,-118.201951200000,39.710397529100,272.17,N/A,slip rate study,42 m of vertical separation in Qfo alluvial fan estimated at 200 ka,0.21,0.2,1,unknown,unprojected (vertical),reinterpreted (42 m/200 ka),vertical separation of fan,relative/regional correlation estimate,unknown,200,0.2,1,Bell and Katzer (1990) Geology
424,Dixie Valley,1032,NV,dePolo and Anderson location,S-0424,SR-0466,-118.181672989000,39.650840928700,265.36,N/A,dePolo and Anderson calibration rate,unknown,0.14,0.07,0.23,unknown,unprojected (vertical),reported,unknown,unknown,unknown,30-130,0.2,1,dePolo and Anderson (2000)
425,Dry Lake,1033,NV,dePolo and Anderson location,S-0425,SR-0467,-114.767931457000,37.622047698000,217.59,N/A,dePolo and Anderson calibration rate,unknown,0.008,0.005,0.014,unknown,unknown,reported,unknown,unknown,unknown,130,0,0.2,dePolo and Anderson (2000) Basin Research
426,Dry Valley - Smoke Creek Ranch,1034,NV,approx centroid,S-0426,SR-0468,-119.898652836000,40.401096824100,376.87,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
427,Duck Flat,1035,NV,approx centroid,S-0427,SR-0469,-119.944617305000,41.075483816900,448.54,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
428,Dunn Glenn,1036,NV,approx centroid,S-0428,SR-0470,-117.961484979000,40.809539277400,390.85,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
429,Eastern Bilk Creek Mountains,1037,NV,approx centroid,S-0429,SR-0471,-118.310871011000,41.792174268800,502.23,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
430,Eastern Edwards Creek Valley,1038,NV,approx centroid,S-0430,SR-0472,-117.566453285000,39.556319371700,250.94,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
431,Eastern Granite Range,1039,NV,approx centroid,S-0431,SR-0473,-119.382186610000,40.801167594700,406.13,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
432,Eastern Independence Valley,1040,NV,approx centroid,S-0432,SR-0474,-116.051301623000,41.406755418000,476.62,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
433,Eastern Monitor Range (south),1165,NV,approx centroid,S-0433,SR-0475,-116.675295404000,38.377752912100,147.7,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
434,Eastern Monitor Range (north),1041,NV,approx centroid,S-0434,SR-0476,-116.494808043000,38.901069114200,205.03,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
435,Eastern Osgood Mountains,1043,NV,approx centroid,S-0435,SR-0477,-117.192305130000,41.141369098900,428.61,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
436,Edna Mountain,1047,NV,approx centroid,S-0436,SR-0478,-117.490999663000,40.767272385600,385.49,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
437,Eglington,1048,NV,Las Vegas Valley,S-0437,SR-0479,-115.150302856000,36.295339272300,136.37,N/A,slip rate study,4.2 m of vertical displacement of layer D2 which occurred between 23.3 and 19.5 ka; max age of displacement = 27 ka,0.18,0.15,0.18,unknown,unprojected (vertical)-climate related/induced displacement,reinterpreted (max = pref = 4.2m/23.3 ka; min = 4.2m/27 ka),warping of D2 surface,unknown/prior study,1?,23.3-27,0,0.2,Springer and Pigati (2020) Geology
438,Emigrant Peak,1049,NV,dePolo and Anderson location,S-0438,SR-0480,-117.937732390000,37.834097015300,64.78,N/A,dePolo and Anderson calibration rate,unknown,0.76,0.4,1.7,unknown,unprojected (vertical),reported,unknown,unknown,unknown,15,0.2,1,dePolo and Anderson (2000)
439,Eugene Mountains,1050,NV,approx centroid,S-0439,SR-0481,-118.241989182000,40.826461720200,395.12,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
440,Fairview,1051,NV,approx centroid,S-0440,SR-0482,-118.149542842000,39.204448117100,216.18,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
441,Excelsior Mountains (unnamed),1052,NV,approx centroid,S-0441,SR-0483,-118.205257059000,38.262654805200,114.47,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
442,Fox Range,1053,NV,approx centroid,S-0442,SR-0484,-119.627614920000,40.437201144700,372.81,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
443,Freds Mountain,1054,NV,Profile 4,S-0443,SR-0485,-119.852183394000,39.673809170400,301.5,N/A,slip rate study,2.0 +/- 0.3 m of vertical separation in late to latest Pleistocene alluvial fan est at 15-126 ka,0.028,0.013,0.15,unknown,unprojected (vertical),reinterpreted (low = 1.7 m/126 ka; high = 2.3 m/15 ka; pref = 2.0 m/70.5 ka),vertical separation of alluvial fan,relative/regional correlation,unlisted,15-126,0,0.2,Koehler (2019) Geomorphology
444,Freds Mountain,1054,NV,"Profile 5,6",S-0444,SR-0486,-119.840316630000,39.704460174200,304.09,N/A,slip rate study,2.7 +/- 0.2 m and 0.7 +/- 0.3 m vertical separation on closely spaced scarp profiles across Holocene alluvial fan surface (Qfg) estimated to be,0.17,0.04,0.29,unknown,unprojected (vertical),reinterpreted ( low = 0.4 m/10ka; high = 2.9 m/10 ka; pref = 1.7 m/10 ka),vertical separation of alluvial fan,relative/regional age control,unlisted,unlisted,0,0.2,Koehler (2019) Geomorphology
445,Freds Mountain,1054,NV,dePolo and Anderson location,S-0445,SR-0487,-119.833434107000,39.784490042000,311.84,N/A,dePolo and Anderson calibration rate,unknown,0.22,0.09,0.36,unknown,unprojected (vertical),reported,unknown,unknown,unknown,15,0,0.2,dePolo and Anderson (2000)
446,Freds Mountain,1054,NV,"Profiles 1,2,3",S-0446,SR-0488,-119.833023523000,39.785651238200,311.94,N/A,slip rate study,"three closely spaced scarp profiles yield vertical separations of 7.1 +/- 0.3m, 9.2 +/- 0.2 m, 5.3 +/- 0.2m across same fan age estimated to be 50-175 ka",0.064,0.029,0.19,unknown,unprojected (vertical),"reinterpreted (merge profiles 1,2,3 together; low = 5.1 m/175 ka; high = 9.4 m/50 ka; pref = 7.2 m/112.5 ka)",vertical separation of alluvial fan,relative/regional correlation,unlisted,50-175,0,0.2,Koehler (2019) Geomorphology
447,Frenchman Mountain,1055,NV,dePolo and Anderson location,S-0447,SR-0489,-115.010820066000,36.169849884100,140.26,N/A,dePolo and Anderson calibration rate,unknown,0.015,0.002,0.08,unknown,unprojected (vertical),reported,unknown,unknown,unknown,130,0,0.2,dePolo and Anderson (2000)
448,Granite Springs Valley,1057,NV,approx centroid,S-0448,SR-0490,-119.053850105000,40.181274854600,332.94,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
449,Grass Valley,1058,NV,approx centroid,S-0449,SR-0491,-117.672063806000,40.709532748400,378.83,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
450,Hiko,1059,NV,approx centroid,S-0450,SR-0492,-115.227762081000,37.614404022600,186.73,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
451,Hoppins Peak,1060,NV,approx centroid,S-0451,SR-0493,-117.760555975000,41.907428871500,511.9,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
452,Hot Springs,1061,NV,approx centroid,S-0452,SR-0494,-118.166261997000,38.952496609200,189.23,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
453,Huntoon Valley (south),1178,NV,approx centroid,S-0453,SR-0495,-118.611001203000,38.093256674400,98.34,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
454,Huntoon Valley (north),1062,NV,approx centroid,S-0454,SR-0496,-118.456660970000,38.215383714600,109.28,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
455,Independence Valley,1063,NV,approx centroid,S-0455,SR-0497,-114.628218696000,40.851421946800,473.44,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
456,Indian Head,1064,NV,IH,S-0456,SR-0498,-118.306042768000,38.571127649700,148.19,N/A,slip rate study,8 +/- 0.8 m of displacement of alluvial fan terrace riser dated at 10.3 +/- 0.5,0.8,0.7,0.9,95% CI (reported; averaged to origin using Zechar and Frankel method),projected (strike-slip),reported,terrace riser,10Be,unknown,10.3 +/- 0.5,0,0.2,"Angster et al., (2019) Geosphere"
457,Indian Hill,1065,NV,approx centroid,S-0457,SR-0499,-119.788663198000,39.063281973600,239.8,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
458,Ione Valley,1066,NV,approx centroid,S-0458,SR-0500,-117.586059226000,38.922909613200,180.63,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
459,Jackson Mountains,1067,NV,Hobo Canyon,S-0459,SR-0501,-118.550442993000,41.293194861500,450.34,N/A,slip rate study,7.5 +/- 0.5m of displacement of shoreline since 15.6 +/- 0.3 ka,0.5,0.4,0.6,unknown,unprojected (vertical),reported,shoreline,Lake Lahontan high stand,3-Feb,15.6 +/- 0.3,0,0.2,"Personius et al., (2017) Geosphere"
460,Jakes Valley,1068,NV,approx centroid,S-0460,SR-0502,-115.318943986000,39.296760440500,301.59,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
461,Jersey Valley,1069,NV,approx centroid,S-0461,SR-0503,-117.507120619000,40.143968542500,316.3,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
462,Kane Spring Wash,1070,NV,approx centroid,S-0462,SR-0504,-114.710482910000,37.140277621300,194.07,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
463,Kawich Range - Hot Creek Ranges,1071,NV,approx centroid,S-0463,SR-0505,-116.353305433000,38.265095432200,157.07,N/A,dePolo empirically-derived slip rate,unknown,0.525,0.2,1,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0.2,1,dePolo (1998) thesis
464,Little Fish Lake Valley,1073,NV,approx centroid,S-0464,SR-0506,-116.354847402000,38.822467740300,204.12,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
465,Mount Rose,1082,NV,Ophir Creek,S-0465,SR-0507,-119.836157473000,39.293340505900,263.71,N/A,slip rate study,trench results reported in 2014 Source Parameters comments and Qfaults; trenching + scarp heights reveal 4.8 +/- 1 m cumulative normal displacement in 2 events over the past c. 1.7 ka,1.5,1.1,3.8,unknown,unprojected (vertical),reported (see Qfaults archive report),net total vertical displacement,unknown,2 (rate averaged through present),1.7,1,5,QFFD archive page; 2014 Source Parameters page; Ramelli and dePolo (1997) FTR
466,Little Valley,1074,NV,approx centroid,S-0466,SR-0508,-119.875467166000,39.274220508500,263.64,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
467,Lone Mountain,1075,NV,Q2c profile,S-0467,SR-0509,-117.607053792000,38.019197237900,80.35,N/A,slip rate study,approx Q2c scarp location of 15.2 +/- 1.2 m vertical displacement in fan dated 92 +/- 9 ka,0.17,0.14,0.2,unknown (ages = 1sigma uncertainty),unprojected (vertical),reinterpreted (low = 14 m/101 ka; high = 16.4 m/83 ka; pref = 15.2 m/92 ka),scarp height in alluvial fan,10Be,unlisted,83-101,0,0.2,Hoeft and Frankel (2010) Geosphere
468,Lone Mountain,1075,NV,Q3b profile,S-0468,SR-0510,-117.578770703000,38.040399600500,82.86,N/A,slip rate study,6 +/- 1.2 m vertical offset in fan dated at 16.5 +/- 1.2 ka,0.36,0.27,0.47,unknown (age error = 1sigma reported),unprojected (vertical),reinterpreted (low = 4.8 m/17.7 ka; high = 7.2 m/15.3 ka; pref = 6m/16.5 ka),scarp height in alluvial fan,10Be,unlisted,16.5 +/- 1.2,0,0.2,Hoeft and Frankel (2010) Geosphere
469,Lone Mountain,1075,NV,dePolo and Anderson location,S-0469,SR-0511,-117.571327369000,38.043380450600,83.25,N/A,dePolo and Anderson calibration rate,unknown,0.13,0.09,0.21,unknown,unprojected (vertical),reported,unknown,unknown,unknown,15,0,0.2,dePolo and Anderson (2000) Basin Research
470,Lone Mountain,1075,NV,Profile 2,S-0470,SR-0512,-117.504291771000,38.068133482100,86.68,N/A,slip rate study,10.2 +/- 0.6 m vertical offset in Q3b surface along profile 2. fan age dated at 14.6 +/- 1.4 ka; additional younger rate but not included given longer record in early Holocene rate vs mid Holocene rate,0.7,0.6,0.8,68% CI (authors reported 1 sigma uncertainty in rate),unprojected (vertical); authors do additionally report resolved rates for net slip,reported,scarp heights in alluvium,10Be,>=2,14.6 +/- 1.4,0,0.2,"Lifton et al., (2014) Tectonics"
471,Middlegate,1078,NV,approx centroid,S-0471,SR-0513,-117.965395132000,39.390892039300,234.06,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
472,Montana Mountains - Desert Valley,1079,NV,Gabica Butte,S-0472,SR-0514,-118.125758274000,41.170452643500,431.93,N/A,slip rate study,2.4 m +/- 0.2 m vertical separation since 15.6 +/-0.3 ka (Sehoo highstand),0.15,0.14,0.16,unknown,unprojected (vertical),reported,scarp height,Lake Lahontan high stand,1(?),15.6+/- 0.3,0,0.2,"Personius et al., (2017) Geosphere"
473,Monte Cristo Valley,1080,NV,approx T3 location,S-0473,SR-0515,-117.828154244000,38.374170429800,120.62,N/A,slip rate study,6 events (including 1932 Cedar Mountain) total 6-12 m of cumulative net (dextral) slip since 32-36 ka.,0.45,0.2,0.7,unknown,projected (net dextral),reported,unknown,radiocarbon,6,32-36,0.2,1,"Bell et al., (1999; 2004) BSSA"
474,Northern Butte Valley,1084,NV,approx centroid,S-0474,SR-0516,-114.975571454000,40.295662319300,406.05,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
475,Northern Huntington Valley,1085,NV,approx centroid,S-0475,SR-0517,-115.654621103000,40.302769248200,376.09,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
476,Northern Roberts Mountains,1086,NV,approx centroid,S-0476,SR-0518,-116.321138818000,39.944777973400,315.98,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
477,Northern Simpson Park Mountains,1087,NV,approx centroid,S-0477,SR-0519,-116.404530086000,40.057833373100,325.15,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
478,Paradise Range,1088,NV,approx centroid,S-0478,SR-0520,-117.868165457000,38.930659034500,182.37,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
479,Peavine Peak,1089,NV,approx centroid,S-0479,SR-0521,-119.953899644000,39.629619537700,301.2,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
480,Penoyer,1090,NV,dePolo and Anderson location,S-0480,SR-0522,-115.677992897000,37.688096235500,164.98,N/A,dePolo and Anderson calibration rate,unknown,0.016,0.007,0.043,unknown,unprojected (vertical),reported,unknown,unknown,unknown,30-130,0,0.2,dePolo and Anderson (2000)
481,Petersen Mountain (east),1092,NV,Profile 1,S-0481,SR-0523,-119.941529276000,39.783313758400,315.81,N/A,slip rate study,2.8 +/- 0.2 m vertical separation of late middle to late Pleistocene alluvial fan estimated to be 50-175 ka,0.025,0.01,0.06,unknown,unprojected (vertical),reported (pref = 2.8 m/112.5 ka (pref m/average ka)),vertical separation of alluvial fan,relative/regional age correlation,unlisted,50-175,0,0.2,Koehler (2019) Geomorphology
482,Petersen Mountain (east),1092,NV,dePolo and Anderson location,S-0482,SR-0524,-119.941324265000,39.786204539700,316.09,N/A,dePolo and Anderson calibration rate,unknown,0.15,0.06,0.24,unknown,unprojected (vertical),reported,unknown,unknown,unknown,15,0,0.2,dePolo and Anderson (2000) Basin Research
483,Petersen Mountain (west),1091,Nv,approx centroid,S-0483,SR-0525,-119.953923424000,39.776933203700,315.66,N/A,dePolo empirically-derived slip rate,unknown,0.1,0,0.2,unknown,unprojected (vertical),reported,unknown,relative,unlisted,unlisted,0,0.2,dePolo (1998) thesis
